Unique ID,First_Transaction,Last_Transaction,Total_Transactions,Total_Debit,Total_Credit,Max_Balance,Min_Balance,Avg_Balance,Daily Count,Weekly Count,Monthly Count,Yearly Count
0791363A00,2023-08-30,2023-08-30,1,30.0,0.0,806.92,806.92,806.92,1,1,1,1
7045314562,2023-02-24,2023-02-24,1,0.0,157.0,1398.88,1398.88,1398.88,1,1,1,1
7264817938,2024-06-05,2024-06-05,1,0.0,200.0,1042.31,1042.31,1042.31,1,1,1,1
7eleven.42,2023-05-10,2023-05-10,1,70.0,0.0,1210.82,1210.82,1210.82,1,1,1,1
8237599879,2024-06-04,2024-06-04,1,125.0,0.0,1008.31,1008.31,1008.31,1,1,1,1
8446278122,2023-02-24,2024-04-26,9,500.0,1560.33,3510.81,433.92,1406.8722222222223,9,9,9,9
8850949354,2024-10-24,2024-11-06,2,210.0,0.0,785.03,507.81,646.42,2,2,2,2
9022606953,2023-02-25,2023-02-25,1,40.0,0.0,1138.88,1138.88,1138.88,1,1,1,1
9326782947,2023-08-08,2023-08-08,1,120.0,0.0,1758.62,1758.62,1758.62,1,1,1,1
9370649978,2023-10-20,2023-10-20,1,150.0,0.0,36.92,36.92,36.92,1,1,1,1
9619877179,2023-12-01,2023-12-01,1,0.0,25.0,681.92,681.92,681.92,1,1,1,1
9820588550,2023-10-05,2023-10-05,1,10.0,0.0,962.92,962.92,962.92,1,1,1,1
9833252222,2023-10-22,2024-04-10,2,90.0,944.0,10132.52,26.92,5079.72,2,2,2,2
9850344585,2023-04-24,2023-04-24,1,0.0,15.0,1484.82,1484.82,1484.82,1,1,1,1
9860566455,2023-03-21,2023-05-29,3,98.0,20.0,1531.38,951.82,1264.34,3,3,3,3
ICI-XX237-SAMEER B,2024-08-01,2024-10-23,8,0.0,5400.0,1802.79,514.81,1060.5525,8,8,8,8
Q054867718,2023-08-19,2023-08-19,1,150.0,0.0,555.92,555.92,555.92,1,1,1,1
Q06492713@,2023-08-24,2023-08-24,1,200.0,0.0,696.92,696.92,696.92,1,1,1,1
Q172613173,2023-08-30,2023-08-30,1,15.0,0.0,746.92,746.92,746.92,1,1,1,1
Q197901178,2023-08-27,2023-08-27,1,50.0,0.0,536.92,536.92,536.92,1,1,1,1
Q506304237,2023-04-28,2023-04-28,1,30.0,0.0,1118.82,1118.82,1118.82,1,1,1,1
RE1-XX470-SAMEER B,2024-08-04,2024-10-12,4,0.0,5000.0,4715.81,1687.79,3121.5550000000003,4,4,4,4
REVERSAL-,2024-06-04,2024-06-04,1,0.0,512.0,1508.31,1508.31,1508.31,1,1,1,1
XX1642,2024-05-05,2024-05-05,1,0.0,1400.0,3408.04,3408.04,3408.04,1,1,1,1
XX3007,2023-08-20,2023-08-20,1,0.0,1.0,1536.92,1536.92,1536.92,1,1,1,1
XX4470,2023-01-17,2024-07-14,9,0.0,108800.0,101359.59,836.92,13246.7,9,9,9,9
XX8237,2023-01-13,2024-07-05,39,0.0,32250.0,3450.82,636.92,1661.503076923077,39,39,39,39
XX9209,2024-04-29,2024-06-30,5,0.0,11581.0,7424.03,1775.31,3284.1119999999996,5,5,5,5
aashayj27@,2023-01-25,2024-04-24,11,1275.0,1619.0,9188.52,807.92,2329.998181818182,11,11,11,11
airtel-pre,2024-07-20,2024-07-20,1,299.0,0.0,701.79,701.79,701.79,1,1,1,1
airtel-rec,2024-07-09,2024-07-09,1,299.0,0.0,1143.59,1143.59,1143.59,1,1,1,1
airtel.pay,2023-06-17,2023-09-11,3,849.0,0.0,1798.62,46.92,780.5533333333333,3,3,3,3
airtelpaym,2023-10-10,2023-10-10,1,265.0,0.0,917.92,917.92,917.92,1,1,1,1
airtelprep,2023-07-14,2024-10-12,14,4118.0,0.0,3694.81,47.31,1334.8835714285713,14,14,14,14
alpharane2,2023-10-21,2024-09-28,8,340.0,1378.0,11075.52,136.92,2037.59875,8,8,8,8
amankanoji,2023-10-27,2023-10-27,1,0.0,15.0,136.92,136.92,136.92,1,1,1,1
anandsaars,2023-10-28,2023-10-28,1,35.0,0.0,1101.92,1101.92,1101.92,1,1,1,1
anushkashe,2023-10-20,2024-04-23,3,120.0,1043.0,6358.46,186.92,2437.133333333333,3,3,3,3
